Sample,SRR8181562,SRR8181563,SRR8181564,SRR8181565,SRR8181566,SRR8181567,SRR5639640,SRR6181120,SRR6181121,SRR6181136,SRR6181137,SRR7243508,SRR7243509,SRR7243510,SRR7243511,SRR7243512,SRR7243513,SRR7243556,SRR7243557,SRR7243558,SRR7243559,SRR7243560,SRR7243561,SRR7243938,SRR7243939,SRR7243954,SRR7243955,SRR8181550,SRR8181551,SRR8181552,SRR8181556,SRR8181557,SRR8181558,SRR8181559,SRR8181560,SRR8181561,SRR1707771,SRR1707772,SRR1707773,SRR1707774,SRR1707775,SRR1707776,SRR1707777,SRR1707778,SRR1707779,SRR1707780,SRR1707781,SRR1707782,SRR1707783,SRR1707784,SRR1707785,SRR1707786,SRR5400307,SRR5400308,SRR5400309,SRR5400313,SRR5400314,SRR5400315,SRR8181568,SRR8181569,SRR8181570,SRR8181571,SRR8181572,SRR8181573,SRR1707763,SRR1707764,SRR1707765,SRR1707766,SRR1707767,SRR1707768,SRR1707769,SRR1707770,SRR6671610,SRR6671611,SRR6671612,SRR6671613,SRR6671614,SRR6671615,SRR6671616,SRR6671617,SRR6671618,SRR6671619,SRR3477312,SRR3477313,SRR3477314,SRR3477315,SRR3477316,SRR3477317,SRR3477318,SRR3477319,SRR3477320,SRR3477321,SRR3477322,SRR3477323,SRR8181574,SRR8181575,SRR8181576,SRR8181577,SRR8181578,SRR8181579,SRR1707787,SRR1707788,SRR1707789,SRR1707790,SRR1707791,SRR1707792,SRR1707793,SRR1707794
Group,middle,middle,middle,middle,middle,middle,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old
FBgn0004859,100,77,88,93,113,109,276,312,544,277,252,320,279,259,219,540,298,361,271,405,246,432,154,306,342,261,272,186,225,153,90,74,78,70,102,85,436,486,82,237,524,490,254,175,640,414,49,87,20,427,596,229,293,326,240,241,236,300,117,102,93,101,98,110,2,47,41,25,29,36,39,55,165,228,131,164,189,242,426,529,344,444,1905,1827,1457,1381,1763,1886,1736,1622,1519,1715,1523,1444,141,112,107,116,86,100,16,52,173,375,62,69,130,146
FBgn0010225,1872,1904,1709,1682,2185,1947,5347,4192,12043,8743,5386,4186,4459,4543,4060,11869,5720,7329,8500,10958,5281,7196,3509,4105,7325,6435,5277,3976,3886,3596,1127,970,1510,1480,1349,1350,16496,16941,3293,11542,21750,15495,10572,7257,21299,16909,2095,7551,1813,16676,25971,10542,7531,7804,5586,6127,5304,6075,2164,2103,2212,2121,2077,2059,278,1318,2328,1682,1384,1310,2180,3244,2152,2749,1984,2337,2493,2983,4795,5925,3751,4814,21149,18896,20877,19497,24116,25047,23167,26031,16756,16344,20087,21484,2625,2604,2913,2640,2379,2602,1169,3225,10896,15432,3946,3056,5293,6068
FBgn0010315,21,34,26,16,23,19,69,84,123,107,59,95,79,82,44,124,50,89,101,135,59,91,41,79,80,66,67,60,51,48,6,14,28,13,18,23,147,210,32,120,181,166,110,65,180,178,25,43,6,142,229,86,98,91,88,83,91,105,37,29,37,27,24,26,4,8,22,8,7,14,32,33,40,34,34,39,39,43,83,97,71,76,482,494,512,493,569,550,470,517,484,432,482,482,26,30,27,31,23,33,15,34,104,181,55,30,85,71
FBgn0010395,3,7,1,6,2,4,16,9,27,9,14,11,7,6,6,26,9,15,8,17,14,13,6,9,19,6,15,6,7,4,2,1,3,4,4,2,69,33,3,23,60,92,50,36,114,53,2,7,2,27,64,55,21,20,20,10,20,13,12,1,12,7,12,10,1,2,4,2,3,1,3,3,5,4,4,5,4,5,8,6,5,9,173,128,169,158,167,188,177,169,168,124,290,195,12,20,18,12,9,7,7,13,35,70,33,7,21,33
FBgn0014135,24,22,16,14,22,30,95,107,188,77,115,106,105,106,90,172,86,100,74,101,110,116,43,101,106,55,92,86,103,74,21,25,15,15,16,19,256,240,31,111,258,157,171,60,263,268,27,55,12,138,190,92,90,86,52,67,82,83,27,25,22,14,22,11,2,9,17,13,5,14,11,23,45,62,54,51,52,76,62,84,76,72,880,780,899,795,1452,1425,1479,2110,1878,1581,1134,966,36,31,36,29,9,34,18,37,64,313,42,41,53,86
FBgn0015776,622,592,583,542,729,609,2336,1727,3822,2414,2652,1674,1642,1423,1422,3746,2054,2708,2333,3523,2579,3281,1469,1677,2516,2050,2301,1266,1537,1178,558,467,585,594,493,515,3616,3649,548,1825,3278,2824,2006,1501,4691,3040,405,948,173,2592,4164,2175,1814,2079,1651,1549,1569,1745,526,554,562,500,516,512,46,227,438,312,431,349,466,610,94,120,99,111,116,134,204,231,134,158,12438,12935,12005,11570,11424,12586,9089,9541,11869,9051,9771,10729,550,640,660,647,510,607,188,444,1582,3227,823,678,1119,1258
FBgn0019972,27,25,40,21,41,45,116,144,318,143,134,142,161,111,103,307,158,139,136,205,133,180,66,133,213,107,115,73,88,71,32,41,28,36,28,31,338,280,52,157,281,235,149,150,451,297,41,76,17,179,336,222,92,103,92,93,80,95,26,30,43,25,29,26,4,19,29,13,42,25,25,33,148,146,144,137,179,208,217,251,159,208,627,609,592,635,677,870,744,801,616,663,601,536,38,39,38,58,28,44,16,44,148,297,70,59,102,100
FBgn0029167,875,859,710,735,910,849,2244,1573,3472,4055,2128,1988,1795,1933,1189,3276,1949,2867,3813,3478,2019,2572,1115,1469,2017,3011,2172,1698,1606,1390,474,455,565,533,481,495,3996,5169,652,3585,5670,4469,2944,2479,3704,4069,301,1064,225,2483,4258,2143,2691,2741,2377,1837,1694,2077,665,662,796,812,742,672,31,358,446,272,246,343,398,622,217,222,154,147,182,168,101,146,144,156,10719,8386,12543,11860,14917,13499,11779,13791,11186,11009,12770,13745,997,991,1071,952,761,827,292,644,1878,3042,633,595,1064,1312
FBgn0030505,390,363,366,366,474,468,968,944,1994,1073,1176,1045,1008,1077,976,1965,1044,1198,1025,1519,1126,1515,567,926,986,729,950,632,678,579,289,270,332,310,324,331,1577,1443,384,950,2013,2259,1086,779,2571,1595,299,460,113,1621,2213,935,1075,1129,1100,979,1029,1045,343,339,363,314,302,303,18,89,119,102,105,99,122,218,2479,3085,2344,2936,3117,3863,3594,4458,2959,3502,8766,10038,9244,9826,10231,11174,8385,9232,8356,8354,7785,7803,448,434,411,439,306,381,99,217,499,1080,346,350,566,463
FBgn0030592,6,1,2,2,5,2,8,1,11,8,12,5,5,0,5,10,9,5,7,9,10,8,12,1,4,4,8,3,3,4,3,1,2,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
